FIFA Version Name,Name,Position,Age,Overall rating,Potential,Team,Contract Dates,Height,Weight,Foot,Best overall,Best position,Joined,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Pacing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Nationality,Player Specialities,Club League Name,Club Position,Club Kit Number,Contract Valid Until,National Team Position,National Team Kit Number,Player Image URL,Profile URL
FC 25,Rodri,"CDM, CM",28,91,91,Manchester City,2019 ~ 2027,"190cm / 6'3""",82kg / 181lbs,Right,91,CDM,4-Jul-19,€115.5M,€440K,€213.7M,395,76,74,81,93,71,415,84,86,64,91,90,357,65,66,66,93,67,438,92,83,91,83,89,391,85,84,76,84,62,94,261,92,87,82,49,10,10,7,14,8,2306,488,4,3,Unknown,Unknown,5,Normal (185+),Yes,66,80,86,84,87,85,Spain,Distance shooter,Premier League,RES,16,2027,RES,16,https://cdn.sofifa.net/players/231/866/25_120.png,https://sofifa.com/player/231866/rodrigo-hernandez-cascante/250044/
FC 25,M. Salah,"RM, RW",32,91,91,Liverpool,2017 ~ 2027,"175cm / 5'9""",72kg / 159lbs,Left,91,RM,1-Jul-17,€104M,€350K,€192.4M,411,86,95,59,88,83,418,90,88,69,81,90,452,89,89,89,94,91,409,83,79,88,75,84,387,63,55,93,89,87,93,122,38,43,41,62,14,14,9,11,14,2261,475,3,4,Unknown,Unknown,5,Unique,Yes,89,89,86,90,45,76,Egypt,"Dribbler, Crosser, Acrobat, Clinical finisher, Complete forward",Premier League,RM,11,2027,Unknown,Unknown,https://cdn.sofifa.net/players/209/331/25_120.png,https://sofifa.com/player/209331/mohamed-salah/250044/
FC 25,J. Bellingham,"CAM, CM",21,90,94,Real Madrid,2023 ~ 2029,"186cm / 6'1""",75kg / 165lbs,Right,92,CAM,1-Jul-23,€174.5M,€280K,€370.8M,397,66,89,75,90,77,408,89,73,68,89,89,413,81,80,82,91,79,429,85,85,93,80,86,423,85,82,91,91,74,87,233,77,79,77,48,14,11,10,5,8,2351,500,4,4,Unknown,Unknown,5,Normal (170-185),Yes,80,86,83,88,78,85,England,"Dribbler, Playmaker, Clinical finisher, Complete midfielder, Complete forward",La Liga,RCM,5,2029,CAM,10,https://cdn.sofifa.net/players/252/371/25_120.png,https://sofifa.com/player/252371/jude-bellingham/250044/
FC 25,E. Haaland,ST,23,90,92,Manchester City,2022 ~ 2034,"195cm / 6'5""",94kg / 207lbs,Left,91,ST,1-Jul-22,€157M,€270K,€302.2M,404,58,96,83,77,90,367,79,77,62,66,83,413,80,94,77,93,69,438,94,92,76,93,83,390,88,43,95,74,90,88,114,38,47,29,52,7,14,13,11,7,2178,464,3,3,Unknown,Unknown,5,Unique,Yes,88,92,70,81,45,88,Norway,"Aerial threat, Distance shooter, Strength, Clinical finisher, Complete forward",Premier League,SUB,9,2034,ST,9,https://cdn.sofifa.net/players/239/085/25_120.png,https://sofifa.com/player/239085/erling-haaland/250044/
FC 25,Vini Jr.,"LW, ST",23,90,94,Real Madrid,2018 ~ 2027,"176cm / 5'9""",73kg / 161lbs,Right,91,CAM,12-Jul-18,€171.5M,€340K,€364.4M,376,81,89,50,83,73,401,93,79,62,77,90,454,95,95,94,86,84,387,81,74,84,65,83,330,58,26,87,85,74,83,75,32,25,18,36,5,7,7,7,10,2059,450,4,5,Unknown,Unknown,5,Lean (170-185),Yes,95,85,81,91,29,69,Brazil,"Speedster, Dribbler, Acrobat, Clinical finisher, Complete forward",La Liga,LW,7,2027,Unknown,Unknown,https://cdn.sofifa.net/players/238/794/25_120.png,https://sofifa.com/player/238794/vinicius-jose-de-oliveira-junior/250044/
FC 25,K. Mbappé,"ST, LW",25,90,93,Real Madrid,2024 ~ 2029,"182cm / 6'0""",75kg / 165lbs,Right,92,ST,1-Jul-24,€160M,€380K,€340M,411,78,92,72,85,84,408,93,80,69,74,92,460,97,97,93,91,82,425,90,88,87,77,83,355,61,38,91,83,82,88,92,26,34,32,42,13,5,7,11,6,2193,472,4,5,Unknown,Unknown,5,Unique,Yes,97,89,81,92,36,77,France,"Speedster, Dribbler, Acrobat, Clinical finisher, Complete forward",La Liga,ST,9,2029,ST,10,https://cdn.sofifa.net/players/231/747/25_120.png,https://sofifa.com/player/231747/kylian-mbappe/250044/
FC 25,V. van Dijk,CB,32,90,90,Liverpool,2018 ~ 2027,"193cm / 6'4""",92kg / 203lbs,Right,90,CB,1-Jan-18,€77.5M,€220K,€143.4M,318,53,52,88,80,45,363,70,60,70,86,77,347,66,87,54,90,50,402,81,89,75,93,64,355,85,91,47,70,62,90,269,91,91,87,58,13,10,13,11,11,2112,459,3,2,Unknown,Unknown,5,Unique,Yes,78,60,72,72,90,87,Netherlands,"Tackling, Tactician, Strength, Complete defender",Premier League,LCB,4,2027,LCB,4,https://cdn.sofifa.net/players/203/376/25_120.png,https://sofifa.com/player/203376/virgil-van-dijk/250044/
FC 25,H. Kane,ST,30,90,90,FC Bayern München,2023 ~ 2027,"188cm / 6'2""",86kg / 190lbs,Right,90,ST,12-Aug-23,€117.5M,€170K,€193.9M,441,80,95,91,86,89,397,80,82,69,79,87,362,64,65,66,94,73,431,94,87,75,86,89,397,80,42,94,86,95,92,130,46,46,38,54,8,10,11,14,11,2212,454,4,3,Unknown,Unknown,5,Unique,Yes,65,93,83,82,49,82,England,"Aerial threat, Distance shooter, Strength, Clinical finisher, Complete forward",Bundesliga,ST,9,2027,ST,9,https://cdn.sofifa.net/players/202/126/25_120.png,https://sofifa.com/player/202126/harry-kane/250044/
FC 25,F. Wirtz,"CAM, ST",21,89,92,Bayer 04 Leverkusen,2020 ~ 2027,"177cm / 5'10""",71kg / 157lbs,Right,91,CAM,31-Jan-20,€143.5M,€125K,€247.5M,386,87,84,43,91,81,427,90,83,74,88,92,423,82,79,87,88,87,373,78,65,87,59,84,352,63,47,85,91,66,86,152,59,49,44,57,14,14,13,6,10,2170,459,4,4,Unknown,Unknown,5,Normal (170-185),Yes,80,82,89,90,51,67,Germany,"Dribbler, Playmaker, Crosser, Acrobat, Complete midfielder",Bundesliga,RAM,10,2027,SUB,24,https://cdn.sofifa.net/players/256/630/25_120.png,https://sofifa.com/player/256630/florian-wirtz/250044/
FC 25,Alisson,GK,31,89,89,Liverpool,2018 ~ 2027,"193cm / 6'4""",91kg / 201lbs,Right,89,GK,19-Jul-18,€54.5M,€130K,€100.8M,139,17,13,29,60,20,164,27,19,18,58,42,273,60,49,40,87,37,270,64,82,32,78,14,140,27,11,13,66,23,66,50,15,19,16,435,86,85,85,90,89,1471,491,3,1,Unknown,Unknown,5,Unique,Yes,86,85,85,89,56,90,Brazil,Unknown,Premier League,GK,1,2027,Unknown,Unknown,https://cdn.sofifa.net/players/212/831/25_120.png,https://sofifa.com/player/212831/alisson-ramses-becker/250044/
